序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
325,Ralph Wiegmann,,男,德国,,,企业,2018复评评委,IF CEO                                                                                                                                 CEO of International Forum Design
326,Gabriele Bertemann,,女,德国,,,企业,,iF CEO助理
328,Ernst Raue,,/,德国,,,企业,,"汉诺威公司前CEO
ER GBS 公司全球商业服务经理"
333,"张弘星
张宏兴",,男,英国,,,奖项/组委会,"2016提名专家
2017提名专家",V&A英国国立维多利亚与艾伯特博物馆 亚洲部中国藏品主任
334,William Knight,,男,英国,,,奖项/组委会,,英国百分百设计周主策展人
335,John Mathers,,男,英国,,,协会,"2018提名专家
2018总决赛评委
2019初评评委","英国设计基金设计总监
Director of Design, British Design Fund"
338,弗兰克·彼得斯,Frank Peters,男,英国,,,协会,,"chief executive of chartered society of designers
Chartered设计师协会首席执行官"
339,Theo Williams,,男,英国,,,企业,2017提名专家,"曾为Alessi, Lexon，Prada 设计产品，原John Lewis 家居部设计总监、Habitat创意总监"
341,Malcolm Young,,男,英国,,,媒体,,Wallpaper主编
342,Michael Young,,男,英国,,,企业,"2016初评评委
2017提名专家
2018初评评委","Michael Young 工作室创始人，设计顾问；
Founder of Michael Young Studio, Design Consultant."
346,Piers Roberts,,男,英国,,,企业,2017提名专家,"Director of Designersblock 
伦敦设计师部落负责人"
348,John Russell Mathers,,男,英国,,,协会,2018提名专家,"英国设计基金设计总监
前英国设理事会主席"
349,卢西亚诺·加林佩蒂,Luciano Galimberti,男,意大利,,,协会,,意大利全国工业设计协会（ADI）主席
355,Samy Rio,,/,意大利,,,企业,,"独立设计师,专注毛竹"
356,Alexandre Echasseriau,,男,意大利,,,企业,,独立设计师、传统手工艺与交互
357,Nicola Guelfo,,男,意大利,,,企业,,"head of industrial Design Styling IG/D-I
意大利设计工业设计总监"
358,Gisella Borioli,,女,意大利,,,企业,,Superstudio Group  创始人及策展人
359,Michelangelo Giombini,,男,意大利,,,媒体,,Mondadori | Interni 杂志 special projects architect
360,吉达,Gilda Bojardi,女,意大利,,,奖项/组委会,,Mondadori | Interni 杂志 Direttore Responsabile           经理、米兰设计周外围展主策展人
361,Pasquale Cirulli,,/,意大利,,,企业,,Italian Group 意大利设计公司 高级产品设计师 Senior Priduct Designer
362,Edgardo Angelini,,/,意大利,,,企业,,Italian Group 意大利设计公司 partner 合伙人Managing Director
363,Peter James Newbould,,男,意大利,,,企业,,Italian Group 意大利设计公司 partner 合伙人(英)Industrial Service Design Director
364,Stefano Giovannoni,,男,意大利,,,企业,,Giovannoni Design 创始人
365,Marco Bonetto,,男,意大利,,,企业,,"布拉雷美院教授
Design center公司主席"
366,Yuming Chen,,男,意大利,,,奖项/组委会,,意大利A'DESIGN award&competition亚洲负责人
